,rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
0-3,301,Education,2,1000,51,28,3,1775,2,1,5,3
0-3,422,Tools,2.4,100000,51,106,3,12212,0,1,2,45
0-3,442,Media & Video,2.3,1000,51,418,9,33523,2,1,3,94
0-3,444,Productivity,2.9,10000,51,435,6,40867,1,3,1,84
0-3,466,Casual,2.3,10000,51,30,3,2227,1,0,5,4
0-3,615,Education,2.5,1000,51,97,12,10613,0,6,17,43
0-3,618,Lifestyle,2,1000,51,826,6,74320,0,2,22,252
0-3,629,Sports,1.7,1000,0,34,3,1972,0,0,2,4
0-3,633,News & Magazines,2,1000,51,861,6,93027,0,1,18,385
0-3,636,Education,2,5000,50,353,3,24155,6,1,5,61
0-3,646,Entertainment,2.9,50000,51,53,6,3723,0,0,5,14
0-3,682,Music & Audio,2.6,1000,0,325,6,29724,0,2,18,53
0-3,713,Health & Fitness,2.7,10000,51,2304,12,256013,0,3,4,688
0-3,747,Travel & Local,2.9,5000,50,1100,3,106491,3,1,5,331
0-3,749,Entertainment,2.2,5000,51,104,9,10440,0,0,17,40
0-3,779,Tools,2.5,10000,51,1667,9,97354,0,0,8,438
0-3,793,Casual,2.8,10000,51,0,0,0,7,0,3,0
0-3,825,News & Magazines,2.7,1000,51,190,6,19861,0,1,3,39
0-3,834,Personalization,2.8,1000,92,901,79,111230,1,1,16,256
0-3,878,Education,2.8,1000,92,13,6,1707,2,0,6,0
0-3,950,Entertainment,2.6,1000,92,597,6,86225,0,0,1,151
0-3,1210,Tools,2.6,5000,0,28,3,2701,0,2,13,5
0-3,1226,News & Magazines,2.8,10000,51,86,3,10220,0,7,2,41
0-3,1253,Entertainment,2.3,10000,51,459,6,45390,0,4,2,88
0-3,1294,Finance,1.8,5000,51,81,3,5416,2,0,3,36
0-3,1300,Entertainment,2,1000,51,67,3,9239,0,7,1,35
0-3,1327,Entertainment,2.7,1000,92,6112,24,710193,0,7,2,1605
0-3,1341,Finance,2.8,1000,0,28,3,1184,0,0,3,0
0-3,1348,Lifestyle,2,1000,51,62,6,5148,0,0,18,9
0-3,1352,Media & Video,1.8,1000,51,158,9,10288,1,0,12,25
0-3,1359,Casual,2,1000,51,94,3863,11929,1,6,4,51
0-3,1361,Health & Fitness,2.2,1000,51,165,4950,12093,0,0,20,46
0-3,1398,Entertainment,1.8,5000,0,61,6,7084,0,1,2,19
0-3,1402,Transportation,2.3,5000,51,123,3,8661,0,1,2,20
0-3,1403,Travel & Local,2.9,5000,50,67,3,5854,7,1,2,6
0-3,1511,Board,2.9,10000,92,2342,9,238472,1,5,6,702
0-3,1514,Business,2.5,1000,0,19,3,3483,0,0,4,1
0-3,1515,Entertainment,2.8,1000,51,111,3,12191,0,0,10,45
0-3,1521,Tools,2.6,10000,51,120,3,13063,1,0,17,45
0-3,1523,Productivity,2.8,1000,0,85,3,19588,0,3,13,86
0-3,1560,Entertainment,2.2,10000,51,362,9,30740,2,0,5,95
0-3,1612,Books & Reference,2.8,1000,51,76,9,5644,0,0,2,21
0-3,1677,Entertainment,2.9,5000,50,175,12,17746,0,0,7,35
0-3,1710,Books & Reference,2.5,5000,51,117,3,14980,0,0,12,26
0-3,1800,Music & Audio,2.7,1000,51,23,21,1206,3,1,4,4
0-3,1804,Music & Audio,2.5,10000,51,23,21,1204,3,1,2,4
0-3,1816,Communication,2.7,5000,50,27,3,7644,1,1,9,10
0-3,1838,Tools,2.8,1000,0,161,6,11835,1,0,2,45
0-3,1840,Transportation,2.3,1000,0,71,6,6239,1,0,5,11
0-3,1931,Sports,2.7,1000,51,61,5117,6021,0,0,8,20
